English,Chinese,Pinyin,Word Type,CEFR Level
abandon,放弃,fàngqì,verb,B2
accept,接受,jiēshòu,verb,A2
access,使用权,shǐyòngquán,verb,B1
accompany,陪伴,péibàn,verb,B2
account,帐户,zhànghù,verb,B2
accuse,告,gào,verb,B2
achieve,达到,dádào,verb,A2
acknowledge,承认,chéngrèn,verb,B2
acquire,获得,huòdé,verb,B2
act,行为,xíngwéi,verb,A2
adapt,适应,shìyìng,verb,B2
add,添加,tiānjiā,verb,A1
address,地址,dìzhǐ,verb,B2
admire,钦佩,qīnpèi,verb,B1
admit,承认,chéngrèn,verb,B1
adopt,采纳,cǎinà,verb,B2
advance,进步,jìnbù,verb,B2
advertise,广告,guǎnggào,verb,A2
advise,建议,jiànyì,verb,B1
affect,影响,yǐngxiǎng,verb,A2
afford,买得起,mǎidéqǐ,verb,B1
age,年龄,niánlíng,verb,B1
agree,同意,tóngyì,verb,A1
aid,援助,yuánzhù,verb,B2
aim,目的,mùdì,verb,B1
alarm,警报,jǐngbào,verb,B2
allow,允许,yǔnxǔ,verb,A2
alter,改变,gǎibiàn,verb,B2
amount,数量,shùliàng,verb,B2
analyse,分析,fēnxī,verb,B1
announce,宣布,xuānbù,verb,B1
annoy,惹恼,rěnǎo,verb,B1
answer,回答,huídá,verb,A1
apologize,道歉,dàoqiàn,verb,B1
appeal,上诉,shàngsù,verb,B2
appear,出现,chūxiàn,verb,A2
apply,申请,shēnqǐng,verb,A2
appreciate,欣赏,xīnshǎng,verb,B1
approach,方法,fāngfǎ,verb,B2
approve,批准,pīzhǔn,verb,B2
argue,争论,zhēnglùn,verb,A2
arise,出现,chūxiàn,verb,B2
arrange,安排,ānpái,verb,A2
arrest,逮捕,dàibǔ,verb,B1
arrive,到达,dàodá,verb,A1
ask,问,wèn,verb,A1
assess,评估,pínggū,verb,B2
assist,协助,xiézhù,verb,B1
associate,联系,liánxì,verb,B2
assume,认为,rènwéi,verb,B2
attach,附,fù,verb,B1
attack,攻击,gōngjī,verb,A2
attempt,试图,shìtú,verb,B2
attend,出席,chūxí,verb,A2
attract,吸引,xīyǐn,verb,B1
average,平均的,píngjūn de,verb,B1
avoid,避免,bìmiǎn,verb,A2
award,奖,jiǎng,verb,B1
back,后退,hòutuì,verb,B2
bake,烤,kǎo,verb,B1
balance,平衡,pínghéng,verb,B1
ban,禁止,jìnzhǐ,verb,B1
bar,酒吧,jiǔbā,verb,B2
base,根据,gēnjù,verb,B1
battle,战斗,zhàndòu,verb,B2
be,是,shì,verb,A1
bear,熊,xióng,verb,B2
beat,打,dǎ,verb,A2
become,变得,biànde,verb,A1
beg,求,qiú,verb,B2
begin,开始,kāishǐ,verb,A1
behave,表现,biǎoxiàn,verb,A2
believe,相信,xiāngxìn,verb,A1
belong,属于,shǔyú,verb,A2
bend,弯曲,wānqū,verb,B1
benefit,益处,yìchu,verb,B1
bet,赌注,dǔzhù,verb,B2
bill,账单,zhàngdān,verb,B2
bite,咬,yǎo,verb,B1
blame,责备,zébèi,verb,B2
block,堵塞,dǔsè,verb,B1
blow,吹,chuī,verb,A2
board,木板,mùbǎn,verb,B1
boil,熬,áo,verb,A2
bomb,炸弹,zhàdàn,verb,B1
book,书,shū,verb,A2
border,边界,biānjiè,verb,B2
born,出生,chūshēng,verb,A1
borrow,借,jiè,verb,A2
bother,打扰,dǎrǎo,verb,B1
brand,品牌,pǐnpái,verb,B1
break,休息,xiūxi,verb,A1
breathe,呼吸,hūxī,verb,B1
bring,带来,dàilái,verb,A1
broadcast,播送,bōsòng,verb,B2
brush,刷子,shuāzi,verb,A2
build,建造,jiànzào,verb,A1
burn,烧伤,shāoshāng,verb,A2
bury,埋葬,máizàng,verb,B1
buy,买,mǎi,verb,A1
calculate,计算,jìsuàn,verb,B2
call,称呼,chēnghu,verb,A1
calm,冷静的,lěngjìng de,verb,B1
camp,营,yíng,verb,A2
campaign,活动,huódòng,verb,B1
cancel,取消,qǔxiāo,verb,B2
capture,捕获,bǔhuò,verb,B2
care,关心,guānxīn,verb,A2
carry,携带,xiédài,verb,A1
cast,投掷,tóuzhì,verb,B2
catch,抓住,zhuāzhù,verb,A2
cause,原因,yuányīn,verb,A2
celebrate,庆祝,qìngzhù,verb,A2
centre,中心,zhōngxīn,verb,B1
chain,链,liàn,verb,B2
chair,椅子,yǐzi,verb,B2
challenge,挑战,tiǎozhàn,verb,B2
change,改变,gǎibiàn,verb,A1
charge,收费,shōufèi,verb,B1
chart,图表,túbiǎo,verb,B2
chat,聊天,liáotiān,verb,A2
cheat,欺骗,qīpiàn,verb,B1
check,查看,chákàn,verb,A1
choose,选择,xuǎnzé,verb,A1
circle,圆圈,yuánquān,verb,A2
cite,引用,yǐnyòng,verb,B2
claim,宣称,xuānchēng,verb,B1
clean,干净的,gānjìng de,verb,A1
clear,清除,qīngchú,verb,B1
click,点击,diǎnjī,verb,B1
climb,爬,pá,verb,A1
close,关闭,guānbì,verb,A1
coach,教练,jiàoliàn,verb,B1
collapse,坍塌,tāntā,verb,B2
collect,收集,shōují,verb,A2
combine,结合,jiéhé,verb,B1
come,来,lái,verb,A1
comfort,舒适,shūshì,verb,B2
command,命令,mìnglìng,verb,B2
comment,评论,pínglùn,verb,B1
commission,委员会,wěiyuánhuì,verb,B2
commit,犯罪,fànzuì,verb,B1
communicate,交流,jiāoliú,verb,A2
compare,比较,bǐjiào,verb,A1
compete,竞争,jìngzhēng,verb,A2
complain,抱怨,bàoyuàn,verb,A2
complete,完全的,wánquán de,verb,A1
concentrate,集中,jízhōng,verb,B1
concern,忧虑,yōulǜ,verb,B2
conclude,得出结论,déchūjiélùn,verb,B1
conduct,执行,zhíxíng,verb,B2
confirm,确认,quèrèn,verb,B1
conflict,冲突,chōngtū,verb,B2
confuse,迷惑,míhuo,verb,B1
connect,连接,liánjiē,verb,A2
consider,考虑,kǎolǜ,verb,A2
consist,组成,zǔchéng,verb,B1
construct,构造,gòuzào,verb,B2
consume,消耗,xiāohào,verb,B1
contact,接触,jiēchù,verb,B1
contain,包含,bāohán,verb,A2
contest,比赛,bǐsài,verb,B2
continue,继续,jìxù,verb,A2
contract,合同,hétóng,verb,B2
contrast,对比,duìbǐ,verb,B1
contribute,贡献,gòngxiàn,verb,B2
control,控制,kòngzhì,verb,A2
convert,转变,zhuǎnbiàn,verb,B2
convince,说服,shuōfú,verb,B1
cook,厨师,chúshī,verb,A1
cool,凉爽的,liángshuǎng de,verb,B1
copy,复制,fùzhì,verb,A2
correct,正确的,zhèngquè de,verb,A1
cost,成本,chéngběn,verb,A1
count,数数,shǔshù,verb,A2
cover,覆盖,fùgài,verb,A2
crash,碰撞,pèngzhuàng,verb,B2
create,创造,chuàngzào,verb,A1
credit,信用,xìnyòng,verb,B2
criticize,批评,pīpíng,verb,B2
cross,叉,chā,verb,A2
cry,哭,kū,verb,A2
cure,治愈,zhìyù,verb,B2
curve,曲线,qūxiàn,verb,B2
cut,切,qiè,verb,A1
cycle,循环,xúnhuán,verb,A2
damage,损害,sǔnhài,verb,B1
dance,舞蹈,wǔdǎo,verb,A1
date,日期,rìqī,verb,B2
deal,交易,jiāoyì,verb,A2
debate,辩论,biànlùn,verb,B2
decide,决定,juédìng,verb,A1
declare,宣布,xuānbù,verb,B2
decline,衰退,shuāituì,verb,B2
decorate,装饰,zhuāngshì,verb,B1
decrease,减少,jiǎnshǎo,verb,B2
defeat,打败,dǎbài,verb,B2
defend,保卫,bǎowèi,verb,B2
define,定义,dìngyì,verb,B1
delay,延迟,yánchí,verb,B2
delight,喜,xǐ,verb,B2
deliver,递送,dìsòng,verb,B1
demand,要求,yāoqiú,verb,B2
demonstrate,证明,zhèngmíng,verb,B2
deny,否定,fǒudìng,verb,B2
depend,依靠,yīkào,verb,A2
describe,描述,miáoshù,verb,A1
desert,沙漠,shāmò,verb,B2
deserve,应得,yīngdé,verb,B2
design,设计,shèjì,verb,A1
desire,欲望,yùwàng,verb,B2
destroy,破坏,pòhuài,verb,A2
detail,细节,xìjié,verb,B2
detect,探测,tàncè,verb,B2
determine,决定,juédìng,verb,B1
develop,发展,fāzhǎn,verb,A2
die,死,sǐ,verb,A1
dig,挖,wā,verb,B2
direct,直接的,zhíjiē de,verb,B1
disagree,不同意,bù tóngyì,verb,A2
disappear,消失,xiāoshī,verb,A2
discount,折扣,zhékòu,verb,B2
discover,发现,fāxiàn,verb,A2
discuss,讨论,tǎolùn,verb,A1
dislike,不喜欢,bù xǐhuan,verb,B1
dismiss,解雇,jiěgù,verb,B2
display,展示,zhǎnshì,verb,B2
distribute,分发,fēnfā,verb,B2
divide,划分,huàfēn,verb,B1
do,做,zuò,verb,A1
document,文档,wéndàng,verb,B2
dominate,支配,zhīpèi,verb,B2
donate,捐,juān,verb,B1
double,双倍的,shuāngbèi de,verb,A2
doubt,怀疑,huáiyí,verb,B1
download,下载,xiàzài,verb,A2
draft,草稿,cǎogǎo,verb,B2
drag,拖,tuō,verb,B2
draw,画,huà,verb,A1
dream,梦,mèng,verb,A2
dress,裙子,qúnzi,verb,A1
drink,喝,hē,verb,A1
drive,驾驶,jiàshǐ,verb,A1
drop,降低,jiàngdī,verb,A2
dry,干燥,gānzào,verb,A2
earn,赚,zhuàn,verb,A2
eat,吃,chī,verb,A1
edit,编辑,biānjí,verb,B2
educate,教育,jiàoyù,verb,B1
elect,选,xuǎn,verb,B2
email,电子邮件,diànzǐyóujiàn,verb,A1
emerge,出现,chūxiàn,verb,B2
emphasize,强调,qiángdiào,verb,B2
employ,采用,cǎiyòng,verb,A2
empty,空的,kōng de,verb,B1
enable,使能够,shǐ nénggòu,verb,B2
encounter,遇到,yùdào,verb,B2
encourage,鼓励,gǔlì,verb,B1
end,结尾,jiéwěi,verb,A1
engage,从事,cóngshì,verb,B2
enhance,提高,tígāo,verb,B2
enjoy,享受,xiǎngshòu,verb,A1
ensure,确保,quèbǎo,verb,B2
enter,进入,jìnrù,verb,A2
entertain,招待,zhāodài,verb,B1
equal,平等的,píngděng de,verb,B1
escape,逃脱,táotuō,verb,B1
establish,建立,jiànlì,verb,B2
estimate,估计,gūjì,verb,B2
evaluate,评价,píngjià,verb,B2
examine,检查,jiǎnchá,verb,B1
exchange,交换,jiāohuàn,verb,B1
excuse,借口,jièkǒu,verb,B2
exercise,锻炼,duànliàn,verb,A1
exist,存在,cúnzài,verb,A2
expand,扩张,kuòzhāng,verb,B1
expect,预计,yùjì,verb,A2
experience,经验,jīngyàn,verb,B1
experiment,实验,shíyàn,verb,B1
explain,解释,jiěshì,verb,A1
explode,爆炸,bàozhà,verb,B1
explore,探索,tànsuǒ,verb,B1
export,出口,chūkǒu,verb,B1
expose,暴露,bàolù,verb,B2
express,表达,biǎodá,verb,A2
extend,延长,yáncháng,verb,B2
face,脸,liǎn,verb,B1
fail,失败,shībài,verb,A2
fall,落下,luòxià,verb,A1
fancy,想要,xiǎngyào,verb,B1
farm,农场,nóngchǎng,verb,A2
fasten,系,xì,verb,B1
favour,青睐,qīnglài,verb,B2
fear,害怕,hàipà,verb,B1
feature,特征,tèzhēng,verb,B1
feed,喂养,wèiyǎng,verb,A2
feel,感觉,gǎnjué,verb,A1
fight,斗争,dòuzhēng,verb,A2
figure,数字,shùzì,verb,B2
file,文件,wénjiàn,verb,B2
fill,充满,chōngmǎn,verb,A1
film,电影,diànyǐng,verb,A2
finance,金融,jīnróng,verb,B2
find,寻找,xúnzhǎo,verb,A1
finish,结束,jiéshù,verb,A1
fire,火,huǒ,verb,B1
fish,鱼,yú,verb,A2
fit,合身,héshēn,verb,A2
fix,使固定,shǐ gùdìng,verb,A2
flash,闪光,shǎnguāng,verb,B2
float,漂浮,piāofú,verb,B2
flood,洪水,hóngshuǐ,verb,B1
flow,流动,liúdòng,verb,B1
fly,飞,fēi,verb,A1
focus,重点,zhòngdiǎn,verb,A2
fold,折叠,zhédié,verb,B1
follow,跟随,gēnsuí,verb,A1
force,力量,lìliang,verb,B1
forget,忘记,wàngjì,verb,A1
forgive,原谅,yuánliàng,verb,B2
form,形式,xíngshì,verb,A1
found,成立,chénglì,verb,B2
frame,框架,kuàngjià,verb,B1
free,自由的,zìyóu de,verb,B2
freeze,冻结,dòngjié,verb,B1
frighten,吓唬,xiàhu,verb,B1
fry,炒,chǎo,verb,B1
fuel,燃料,ránliào,verb,B2
function,功能,gōngnéng,verb,B2
fund,基金,jījīn,verb,B2
gain,获得,huòdé,verb,B2
gather,收集,shōují,verb,B1
generate,产生,chǎnshēng,verb,B2
get,得到,dédào,verb,A1
give,给,gěi,verb,A1
go,去,qù,verb,A1
govern,治理,zhìlǐ,verb,B2
grab,抓住,zhuāzhù,verb,B2
grade,年级,niánjí,verb,B2
graduate,毕业,bìyè,verb,B1
grant,授予,shòuyǔ,verb,B2
greet,迎接,yíngjiē,verb,A2
grow,生长,shēngzhǎng,verb,A1
guarantee,保证,bǎozhèng,verb,B2
guard,警卫,jǐngwèi,verb,B1
guess,猜测,cāicè,verb,A1
guide,指导,zhǐdǎo,verb,A2
hand,手,shǒu,verb,B1
handle,处理,chǔlǐ,verb,B2
hang,悬挂,xuánguà,verb,B1
happen,发生,fāshēng,verb,A1
harm,伤害,shānghài,verb,B2
hate,恨,hèn,verb,A1
have,有,yǒu,verb,A1
head,头,tóu,verb,B1
hear,听到,tīngdào,verb,A1
heat,热,rè,verb,A2
help,帮助,bāngzhù,verb,A1
hesitate,犹豫,yóuyù,verb,B2
hide,隐藏,yǐncáng,verb,A2
highlight,强调,qiángdiào,verb,B1
hire,聘请,pìnqǐng,verb,B1
hit,打,dǎ,verb,A2
hold,抓住,zhuāzhù,verb,A2
honour,荣誉,róngyù,verb,B2
hope,希望,xīwàng,verb,A1
host,主持人,zhǔchírén,verb,B2
house,房子,fángzi,verb,B2
hunt,打猎,dǎliè,verb,B1
hurry,匆忙,cōngmáng,verb,B1
hurt,伤害,shānghài,verb,A2
identify,确认,quèrèn,verb,A2
ignore,忽略,hūlüè,verb,B1
illustrate,阐明,chǎnmíng,verb,B2
imagine,想象,xiǎngxiàng,verb,A1
impact,影响,yǐngxiǎng,verb,B1
imply,意味着,yìwèizhe,verb,B2
import,进口,jìnkǒu,verb,B1
impose,强加,qiángjiā,verb,B2
impress,留下深刻印象,liúxià shēnkèyìnxiàng,verb,B2
improve,提升,tíshēng,verb,A1
include,包括,bāokuò,verb,A1
increase,增加,zēngjiā,verb,A2
indicate,表明,biǎomíng,verb,B1
influence,影响,yǐngxiǎng,verb,B1
inform,通知,tōngzhī,verb,B2
injure,损伤,sǔnshāng,verb,B1
insist,坚持,jiānchí,verb,B2
inspire,启发,qǐfā,verb,B2
install,安装,ānzhuāng,verb,B2
intend,打算,dǎsuàn,verb,B1
interest,兴趣,xìngqù,verb,A1
interpret,解释,jiěshì,verb,B2
interrupt,打断,dǎduàn,verb,B2
interview,面试,miànshì,verb,A1
introduce,介绍,jièshào,verb,A1
invent,发明,fāmíng,verb,A2
invest,投资,tóuzī,verb,B1
